time,Volume,Vol Snow,Vol Blue Ice,Vol White Ice,Tot Inflow Vol,Tot Outflow Vol,Overflow Vol,Evaporation,Rain,Local Runoff,Snowfall,Lake Level,Surface Area,Blue Ice Thickness,Snow Thickness,Snow Density,White Ice Thickness,Albedo,Max Temp,Min Temp,Surface Temp,Daily Qsw,Daily Qe,Daily Qh,Daily Qlw,Light,Benthic Light,Surface Wave Height,Surface Wave Length,Surface Wave Period,LakeNumber,Max dT/dz,CD,CHE,z/L
1980-04-15 24:00:00,5829717.803769,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000, -969.855746,    0.000000,    0.000000,    0.000000,   18.286479,637739.861398,    0.000000,    0.000000,    0.000000,    0.000000,    0.075310,    3.752815,    3.752815,    3.752815,   69.011087,  -43.864122,  -56.206853,  -67.015061,  482.482108,    0.000000,    0.080830,    1.848553,    1.088106,    0.000000,    0.247098,    0.001300,    0.001400,    0.000000
1980-04-16 24:00:00,5828879.340645,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000, -839.201879,    0.000000,    0.000000,    0.000000,   18.285163,637691.676158,    0.000000,    0.000000,    0.000000,    0.000000,    0.074976,    3.733166,    3.733166,    3.733166,  203.219151,  -37.961788,  -52.128236, -102.835822,  933.350375,    0.000000,    0.074536,    1.717574,    1.048850,    0.000000,    0.247062,    0.001300,    0.001400,    0.000000
1980-04-17 24:00:00,5827478.274135,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,-1402.160942,    0.000000,    0.000000,    0.000000,   18.282964,637611.158932,    0.000000,    0.000000,    0.000000,    0.000000,    0.074644,    3.722207,    3.722207,    3.722207,  245.376756,  -63.431758,  -72.838304,  -90.911484,  775.961779,    0.000000,    0.157579,    3.349909,    1.464779,    0.000000,    0.247003,    0.001300,    0.001400,    0.000000
1980-04-18 24:00:00,5826617.714280,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000, -861.143428,    0.000000,    0.000000,    0.000000,   18.281614,637561.703826,    0.000000,    0.000000,    0.000000,    0.000000,    0.074313,    3.749895,    3.749895,    3.749895,  233.785309,  -38.960946,  -45.383857, -115.270379,  863.407322,    0.000000,    0.065533,    1.527335,    0.989060,    0.000000,    0.246967,    0.001300,    0.001400,    0.000000
1980-04-19 24:00:00,5826068.490494,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000, -549.560992,    0.000000,    0.000000,    0.000000,   18.280752,637530.140745,    0.000000,    0.000000,    0.000000,    0.000000,    0.073984,    4.039198,    4.039198,    4.039198,  263.323379,  -24.861555,  -12.313498,  -73.262522,  992.433403,    0.000000,    0.097690,    2.192266,    1.184955,    0.000000,    0.246943,    0.001300,    0.001400,    0.000000
1980-04-20 24:00:00,5825706.638050,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000, -362.059615,    0.000000,    0.000000,    0.000000,   18.280184,637509.345619,    0.000000,    0.000000,    0.000000,    0.000000,    0.073656,    4.437888,    4.185845,    4.437888,  280.164642,  -16.374273,    8.528674,  -79.873056,  990.038861,    0.000000,    0.061190,    1.434247,    0.958445,    0.005117,    0.076080,    0.001300,    0.001400,    0.000000
1980-04-21 24:00:00,5825626.614418,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000, -375.616129,  295.548319,    0.000000,    0.000000,   18.280058,637504.746779,    0.000000,    0.000000,    0.000000,    0.000000,    0.073331,    4.775361,    4.684399,    4.775361,  257.213517,  -16.981427,   -0.260919,  -70.342145,  837.121170,    0.000000,    0.108617,    2.410186,    1.242455,    0.003733,    0.157002,    0.001300,    0.001400,    0.000000
1980-04-22 24:00:00,5825637.752605,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000, -327.307122,  338.451421,    0.000000,    0.000000,   18.280076,637505.386874,    0.000000,    0.000000,    0.000000,    0.000000,    0.073007,    5.420302,    4.686701,    5.420302,  247.501776,  -14.792030,    3.492247,  -82.265596,  932.424284,    0.000000,    0.047781,    1.140682,    0.854747,    0.088880,    0.131321,    0.001300,    0.001400,    0.000000
1980-04-23 24:00:00,5825658.309820,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000, -590.289526,  610.858052,    0.000000,    0.000000,   18.280108,637506.568267,    0.000000,    0.000000,    0.000000,    0.000000,    0.072686,    5.428614,    5.149313,    5.428614,  273.326692,  -26.669866,   -3.873431,  -65.409280, 1031.138627,    0.000000,    0.098008,    2.198650,    1.186680,    0.021775,    0.158221,    0.001300,    0.001400,    0.000000
1980-04-24 24:00:00,5825541.100535,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000, -388.913487,  271.640192,    0.000000,    0.000000,   18.279924,637499.832422,    0.000000,    0.000000,    0.000000,    0.000000,    0.072366,    5.834546,    5.568408,    5.834546,  278.833189,  -17.565547,   16.658476,  -70.409587,  979.905368,    0.000000,    0.111401,    2.465153,    1.256543,    0.019239,    0.111556,    0.001300,    0.001400,    0.000000
